id,action,label
1,调温度,DEFAULT
2,调整座椅,DEFAULT
3,编辑场景,DEFAULT
4,提出建议,DEFAULT
5,重启系统,DEFAULT
6,开风扇,DEFAULT
7,反馈问题,DEFAULT
8,统计财务数据,QUERY
9,故障诊断,DEFAULT
10,删除场景,DEFAULT
11,播放音乐,PLAY
12,空调调节,DEFAULT
13,定时提醒,DEFAULT
14,紧急情况处理,DEFAULT
15,推迟闹钟,DEFAULT
16,用手机查看,VIEW
17,关闭近光灯,DEFAULT
18,播放提示音,PLAY
19,关闭远光灯,DEFAULT
20,导航到指定地点,ROUTE
21,排序数据,DEFAULT
22,车辆控制,DEFAULT
23,副作用咨询,QUERY
24,查询症状,QUERY
25,查询发票状态,QUERY
26,创建报表,CREATE
27,费用报销申请,DEFAULT
28,多条件混合查询,QUERY
29,核对银行流水,QUERY
30,查错财务数据,QUERY
31,更新软件,DEFAULT
32,开启勿扰,DEFAULT
33,打开天窗,OPEN
34,娱乐互动,DEFAULT
35,询问保险报销,QUERY
36,车辆锁定,DEFAULT
37,不完整指令,UNK
38,混合意图（报销+预算）,UNK
39,充电管理,DEFAULT
40,断开蓝牙,DEFAULT
41,症状自查,QUERY
42,打开雾灯,OPEN
43,恢复已删记录,DEFAULT
44,开窗帘,OPEN
45,翻译,TRANSLATION
46,订酒店,DEFAULT
47,发送短信,SEND
48,用药提醒设置,DEFAULT
49,根据注释修改,DEFAULT
50,驾驶模式切换,DEFAULT
51,回复短信,REPLY
52,报警处理,DEFAULT
53,维护提醒,DEFAULT
54,运行状态查询,QUERY
55,对比财务数据,QUERY
56,调亮度,DEFAULT
57,灯光控制,DEFAULT
58,录像,DEFAULT
59,多意图混合（查询+催办）,UNK
60,药物信息查询,QUERY
61,创建场景,CREATE
62,座椅设置,DEFAULT
63,车窗控制,DEFAULT
64,修改提醒,DEFAULT
65,切换灯,DEFAULT
66,发起付款申请,DEFAULT
67,删除数据,DEFAULT
68,用Excel分析,DEFAULT
69,电影信息,QUERY
70,设闹钟,DEFAULT
71,查询温度,QUERY
72,检查电量,QUERY
73,查看预算余额,QUERY
74,环境调节,DEFAULT
75,添加用户,CREATE
76,多方式查看,VIEW
77,票务,DEFAULT
78,合并数据,DEFAULT
79,查询运动,QUERY
80,查看地图,VIEW
81,照明控制,DEFAULT
82,删除短信,DEFAULT
83,视频播放,PLAY
84,多意图指令,UNK
85,模糊需求（发票+合同）,UNK
86,显示位置,VIEW
87,锁门窗,DEFAULT
88,合同审批催办,DEFAULT
89,检查更新,DEFAULT
90,发票开具申请,DEFAULT
91,从Excel导入,DEFAULT
92,获取图表数据,QUERY
93,咨询软件,QUERY
94,参数设置,DEFAULT
95,通风控制,DEFAULT
96,用电脑编辑,DEFAULT
97,紧急停机,DEFAULT
98,车辆信息查询,QUERY
99,移除用户,DEFAULT
100,调节温度,DEFAULT
101,提交费用报销申请,DEFAULT
102,打开收音机,OPEN
103,克隆场景,CREATE
104,比较能耗,QUERY
105,速度调节,DEFAULT
106,暂停音乐,DEFAULT
107,工资明细查询,QUERY
108,餐馆信息,QUERY
109,查询医院信息,QUERY
110,同事审核,DEFAULT
111,查看短信,VIEW
112,暂停播放,DEFAULT
113,预算额度确认,QUERY
114,错误指令,UNK
115,材料补充,DEFAULT
116,更新报表,DEFAULT
117,温度监测,QUERY
118,医疗机构导航,ROUTE
119,多意图混合（工资+报销）,UNK
120,了解治疗流程,QUERY
121,开启场景,OPEN
122,继续音乐,PLAY
123,更新设备,DEFAULT
124,混合意图处理,UNK
125,查询天气,QUERY
126,接收报表,DEFAULT
127,催办流程进度,DEFAULT
128,边界案例,UNK
129,安全检查,DEFAULT
130,查看能耗,QUERY
131,关闭访客,DEFAULT
132,切换歌曲,PLAY
133,查询电影票,QUERY
134,系统设置,DEFAULT
135,检查报告解读,QUERY
136,付款进度跟踪,QUERY
137,混合意图,UNK
138,删除注释,DEFAULT
139,拨打电话,DIAL
140,展示图表,VIEW
141,模式切换,DEFAULT
142,取消日程,DEFAULT
143,通知事件,DEFAULT
144,查询财务数据,QUERY
145,混合指令,UNK
146,降低音量,DEFAULT
147,故障报告,DEFAULT
148,打印,DEFAULT
149,导出到Excel,DEFAULT
150,调高音量,DEFAULT
151,关灯,DEFAULT
152,关闭场景,DEFAULT
153,查看财务数据,QUERY
154,调颜色,DEFAULT
155,查看设备状态,QUERY
156,物料补充,DEFAULT
157,咨询个税计算,QUERY
158,打开近光灯,OPEN
159,讨论图表,DEFAULT
160,直播,DEFAULT
161,打开双闪灯,OPEN
162,预测财务数据,QUERY
163,咨询健康建议,QUERY
164,修改付款账户,DEFAULT
165,打开远光灯,OPEN
166,绘制图表,CREATE
167,速度调整,DEFAULT
168,打开空调,OPEN
169,请教问题,QUERY
170,设备同步,DEFAULT
171,进度查询,QUERY
172,人员呼叫,DEFAULT
173,制作图表,CREATE
174,查找药品信息,SEARCH
175,参数校准,DEFAULT
176,错误场景（权限咨询）,UNK
177,车辆状态查询,QUERY
178,开门,OPEN
179,打开车灯,OPEN
180,闪灯,DEFAULT
181,调空调模式,DEFAULT
182,重启设备,DEFAULT
183,查询动作,QUERY
184,根据图表调整数据,DEFAULT
185,预约挂号指导,DEFAULT
186,数据记录,DEFAULT
187,紧急求助,DEFAULT
188,股市信息,QUERY
189,查看场景,VIEW
190,筛选数据,DEFAULT
191,关闭天窗,DEFAULT
192,调节空调,DEFAULT
193,关闭车窗,DEFAULT
194,整理文件,DEFAULT
195,恢复报表,DEFAULT
196,系统操作帮助,DEFAULT
197,查找餐厅,SEARCH
198,预约挂号,DEFAULT
199,添加注释,CREATE
200,播放媒体内容,PLAY
201,发送通知,SEND
202,模糊时间范围查询,QUERY
203,备份报表,DEFAULT
204,静音,DEFAULT
205,关闭收音机,DEFAULT
206,工具查找,SEARCH
207,关闭车灯,DEFAULT
208,复合指令,UNK
209,连接蓝牙,DEFAULT
210,帮助指令,DEFAULT
211,差旅申请提交,DEFAULT
212,多平台操作,DEFAULT
213,取消提醒,DEFAULT
214,生产进度查询,QUERY
215,申请财务审批,DEFAULT
216,不完整指令（工资）,UNK
217,查询门锁状态,QUERY
218,开启安防,DEFAULT
219,诊断网络,DEFAULT
220,退出系统,DEFAULT
221,生成月度报表,CREATE
222,健康建议获取,QUERY
223,分享图表,SEND
224,设备停止,DEFAULT
225,开灯,OPEN
226,多任务处理,DEFAULT
227,学习烹饪,QUERY
228,让助手整理,DEFAULT
229,关窗帘,DEFAULT
230,安排日程,DEFAULT
231,分析设备使用,QUERY
232,询问创建方法,QUERY
233,税务申报提醒,DEFAULT
234,生成报告,CREATE
235,天气信息,QUERY
236,关风扇,DEFAULT
237,特殊请求,UNK
238,继续播放,PLAY
239,开启度假,DEFAULT
240,疾病知识科普,QUERY
241,发送报表,SEND
242,调音量,DEFAULT
243,导航到公司,ROUTE
244,切歌,PLAY
245,书面化表示,DEFAULT
246,拍照,DEFAULT
247,多意图混合,UNK
248,收藏读数,DEFAULT
249,打印报表,DEFAULT
250,设置提醒,DEFAULT
251,报表导出请求,DEFAULT
252,关闭雾灯,DEFAULT
253,作废错误单据,DEFAULT
254,设备启动,LAUNCH